app_name,app_id,developer_name,developer_id,developer_url,app_url,category,price,rating,rating_count,release_date,bundle_id,description,Contact_Email
"Gestor de gastos, ingresos",1510997753,Orange Dog,1673134885,https://apps.apple.com/ar/developer/orange-dog/id1673134885?uo=4,https://apps.apple.com/ar/app/gestor-de-gastos-ingresos/id1510997753?uo=4,Finance,Gratis,4.92745,14431,2020-10-24T07:00:00Z,ru.innim.myFinance,"Gestor de gastos, ingresos y presupuesto, dinero: el control de gastos e ingresos y la aplicación de dinero y finanzas lo ayudarán a controlar su presupuesto, dinero y finanzas y no le llevará mucho t...",hello@spendee.com
Registro Contable : Gastos,560481810,Realbyte Inc.,560481813,https://apps.apple.com/ar/developer/realbyte-inc/id560481813?uo=4,https://apps.apple.com/ar/app/registro-contable-gastos/id560481810?uo=4,Finance,Gratis,4.8411,2511,2012-11-05T21:31:02Z,com.realbyteapps.MoneyManager2,"'Money Manager Next' es una aplicación utilitaria que le ayuda a manejar su dinero personal. Podrá administrar sus ingresos, gastos y saldos mensuales. 

- Obtenga diversas estadísticas con un simple ...",davetech.app@gmail.com
Yahoo Finanzas,328412701,Yahoo,281970157,https://apps.apple.com/ar/developer/yahoo/id281970157?uo=4,https://apps.apple.com/ar/app/yahoo-finanzas/id328412701?uo=4,Finance,Gratis,4.81031,5356,2012-08-16T00:35:35Z,com.yahoo.finance,"Tu primer destino financiero para estar al día de los mercados y la economía.

Sigue las acciones que más te interesan y obtén noticias y alertas personalizadas. Accede a la mejor información sobre la...",mail.ios.feedback@yahooinc.com
Brubank - Banco Digital,1295202448,Bruinvest S.A.,1295202447,https://apps.apple.com/ar/developer/bruinvest-s-a/id1295202447?uo=4,https://apps.apple.com/ar/app/brubank-banco-digital/id1295202448?uo=4,Finance,Gratis,4.84504,64533,2019-01-09T13:04:27Z,com.brubank.ios,"Brubank es el Banco Digital gratuito más grande de Argentina.
Todo lo que necesitás de un banco, en una app.

Buscamos transformar las finanzas de todo el país, eliminando trámites bancarios y aumenta...",hola@uala.com.ar
Control de gastos y dinero,1204316311,Alin Sorin Cuc,1127767680,https://apps.apple.com/ar/developer/alin-sorin-cuc/id1127767680?uo=4,https://apps.apple.com/ar/app/control-de-gastos-y-dinero/id1204316311?uo=4,Finance,Gratis,4.63887,3046,2017-02-13T18:26:09Z,com.smartexpenditure,La administración del dinero es siempre complicada y la mayor parte del tiempo te preguntas a dónde fue a parar todo tu dinero y en qué estás gastando tus ahorros. Con el fin de responder a estas preg...,contact@encodemx.com
Finanzas personales - MonAi,6447112647,Florian Vates,1544416478,https://apps.apple.com/ar/developer/florian-vates/id1544416478?uo=4,https://apps.apple.com/ar/app/finanzas-personales-monai/id6447112647?uo=4,Finance,Gratis,4.72549,255,2023-06-14T07:00:00Z,com.MonAi,"Presentamos MonAi, la app que revoluciona el seguimiento de tus gastos diarios. Con una interfaz divertida, fácil y hermosa, MonAi simplifica el registro de gastos como nunca antes. Sin más entradas d...",supports-familysharing@2x.png
Monefy - Budget Planner,1212024409,Reflective Technologies ApS,469957278,https://apps.apple.com/ar/developer/reflective-technologies-aps/id469957278?uo=4,https://apps.apple.com/ar/app/monefy-budget-planner/id1212024409?uo=4,Finance,Gratis,4.74666,2771,2017-04-17T12:15:19Z,com.monefyapp.monefy,¿Cómo hacer un seguimiento de tus gastos con éxito? Sabemos que es fácil. Solo tienes que ir añadiendo cada gasto que hagas… ¡así de sencillo! Y Monefy te va a ayudar. Basta con añadir nuevos registro...,davetech.app@gmail.com
Inversión en bolsa Capital.com,1490235342,Capital.com,1709638183,https://apps.apple.com/ar/developer/capital-com/id1709638183?uo=4,https://apps.apple.com/ar/app/inversi%C3%B3n-en-bolsa-capital-com/id1490235342?uo=4,Finance,Gratis,4.84298,121,2019-12-21T08:00:00Z,com.capital.etf.trade,Más de 540.000 de clientes registrados confían en nosotros. Capital.com está aquí para cambiar por completo su experiencia de inversión. Ofrecemos una aplicación* de trading online y una plataforma gr...,contacto@gbm.com
Revolut — Finanzas móviles,932493382,Revolut Ltd,932493381,https://apps.apple.com/ar/developer/revolut-ltd/id932493381?uo=4,https://apps.apple.com/ar/app/revolut-finanzas-m%C3%B3viles/id932493382?uo=4,Finance,Gratis,4.83392,1945,2015-03-01T14:54:14Z,com.revolut.revolut,"Revolut ya llegó a México. Abre tu cuenta bancaria ahora.

Únete a los más de 70 millones de clientes en más de 40 países que ya usan Revolut para retomar el control de su dinero. Olvídate de los lími...",supports-wallet@2x.png
Ualá,1279808159,ALAU TECNOLOGIA S.A.U.,1271373390,https://apps.apple.com/ar/developer/alau-tecnologia-s-a-u/id1271373390?uo=4,https://apps.apple.com/ar/app/ual%C3%A1/id1279808159?uo=4,Finance,Gratis,4.57653,52717,2017-10-02T14:26:17Z,com.bancar.uala,"¡Hola! Estás aquí para conocer Ualá y aquí estamos para contarte quiénes somos. 

 

Ualá México 

⇨ Somos el banco que lo hace fácil. Te ofrecemos una Tarjeta de Crédito Mastercard con MSI y sin anua...",hola@uala.com.ar
