app_name,app_id,developer_name,developer_id,developer_url,app_url,category,price,rating,rating_count,release_date,bundle_id,description,Contact_Email
"Gestor de gastos, ingresos",1510997753,Orange Dog,1673134885,https://apps.apple.com/es/developer/orange-dog/id1673134885?uo=4,https://apps.apple.com/es/app/gestor-de-gastos-ingresos/id1510997753?uo=4,Finance,Gratis,4.90165,4301,2020-10-24T07:00:00Z,ru.innim.myFinance,"Gestor de gastos, ingresos y presupuesto, dinero: el control de gastos e ingresos y la aplicación de dinero y finanzas lo ayudarán a controlar su presupuesto, dinero y finanzas y no le llevará mucho t...",info@orangedog.net
Finanzas personales MoneyStats,1249678565,Tom Tennstedt,1065357282,https://apps.apple.com/es/developer/tom-tennstedt/id1065357282?uo=4,https://apps.apple.com/es/app/finanzas-personales-moneystats/id1249678565?uo=4,Finance,Gratis,4.73055,2572,2017-06-19T19:09:29Z,com.ttdeveloped.moneystatistics,"¡Tu presupuesto, tus finanzas, tu plan! ¡Controla tus ingresos y gastos y ahorra dinero!

¡Con MoneyStats tienes control total de tus finanzas personales, tu presupuesto y tus ingresos y gastos! ¡Cree...",feedback@ttdeveloped.com
Monefy: Control de gastos,1212024409,Reflective Technologies ApS,469957278,https://apps.apple.com/es/developer/reflective-technologies-aps/id469957278?uo=4,https://apps.apple.com/es/app/monefy-control-de-gastos/id1212024409?uo=4,Finance,Gratis,4.59799,3480,2017-04-17T12:15:19Z,com.monefyapp.monefy,¿Cómo hacer un seguimiento de tus gastos con éxito? Sabemos que es fácil. Solo tienes que ir añadiendo cada gasto que hagas… ¡así de sencillo! Y Monefy te va a ayudar. Basta con añadir nuevos registro...,hello@spendee.com
Registro Contable : Gastos,560481810,Realbyte Inc.,560481813,https://apps.apple.com/es/developer/realbyte-inc/id560481813?uo=4,https://apps.apple.com/es/app/registro-contable-gastos/id560481810?uo=4,Finance,Gratis,4.78463,1992,2012-11-05T21:31:02Z,com.realbyteapps.MoneyManager2,"'Money Manager Next' es una aplicación utilitaria que le ayuda a manejar su dinero personal. Podrá administrar sus ingresos, gastos y saldos mensuales. 
  
- Obtenga diversas estadísticas con un simpl...",davetech.app@gmail.com
Fintonic | Ahorra y finánciate,672220319,Fintonic Servicios Financieros SL,672220322,https://apps.apple.com/es/developer/fintonic-servicios-financieros-sl/id672220322?uo=4,https://apps.apple.com/es/app/fintonic-ahorra-y-fin%C3%A1nciate/id672220319?uo=4,Finance,Gratis,4.3421,25586,2013-07-19T11:23:23Z,es.care.sf.Fintonic,"FINTONIC - La app que te da más dinero

CONSIGUE EL PRÉSTAMO Y TEN MÁS DINERO

Con Fintonic consigues el préstamo que necesitas y te ayudamos  a tener más dinero con cuentas remuneradas, inversiones,,...",apps@fintonic.com
Capital.com: Bolsa y Finanzas,1230088754,Capital Com SV Investments Limited,1151141493,https://apps.apple.com/es/developer/capital-com-sv-investments-limited/id1151141493?uo=4,https://apps.apple.com/es/app/capital-com-bolsa-y-finanzas/id1230088754?uo=4,Finance,Gratis,4.6801,3673,2018-11-06T20:16:06Z,com.capital.trading,"El 62-81.31% de las cuentas de inversores minoristas pierden dinero al operar con CFDs con Capital.com Group**

Capital.com: Haz trading con CFD sobre acciones, índices, criptomonedas, divisas o forex...",feedback@capital.com
Bolsa,1069512882,Apple,284417353,https://apps.apple.com/es/developer/apple/id284417353?mt=12&uo=4,https://apps.apple.com/es/app/bolsa/id1069512882?uo=4,Finance,Gratis,4.38659,18521,2016-05-10T18:16:42Z,com.apple.stocks,"La app Bolsa te permite realizar un seguimiento del rendimiento diario de tus acciones y del mercado financiero fácilmente. Realiza un seguimiento de las acciones, los índices, los fondos de inversión...",
Yahoo Finanzas,328412701,Yahoo,281970157,https://apps.apple.com/es/developer/yahoo/id281970157?uo=4,https://apps.apple.com/es/app/yahoo-finanzas/id328412701?uo=4,Finance,Gratis,4.6905,8449,2010-01-19T04:36:39Z,com.yahoo.finance,"Tu primer destino financiero para estar al día de los mercados y la economía.

Sigue las acciones que más te interesan y obtén noticias y alertas personalizadas. Accede a la mejor información sobre la...",mail.ios.feedback@yahooinc.com
Wallet - Finanzas personales,1032467659,BudgetBakers s.r.o.,977611890,https://apps.apple.com/es/developer/budgetbakers-s-r-o/id977611890?uo=4,https://apps.apple.com/es/app/wallet-finanzas-personales/id1032467659?uo=4,Finance,Gratis,4.41239,936,2015-10-04T18:31:16Z,com.budgetbakers.BudgetBakers,"¿POR QUÉ A LA GENTE LE ENCANTA WALLET HECHO POR BUDGETBAKERS?

“Me ha ayudado mucho a ahorrar el dinero. Usarlo es muy fácil y agradable.” - Yasin Geddi
“¡¡Perfecto!! Es una app superbuena.Tiene estil...",hello@spendee.com
Binance: Compra Bitcoin Crypto,1436799971,Binance Switzerland AG,1436799820,https://apps.apple.com/es/developer/binance-switzerland-ag/id1436799820?uo=4,https://apps.apple.com/es/app/binance-compra-bitcoin-crypto/id1436799971?uo=4,Finance,Gratis,4.65487,57135,2018-10-06T19:55:47Z,com.czzhao.binance,"Compra, vende, almacena o haz trading de criptomonedas como Bitcoin (BTC), Ethereum (ETH), XRP (XRP) o Solana (SOL) de forma segura y con las comisiones más bajas.Crea tu billetera cripto con una inte...",binance-uk-app@binance.com
